,Unnamed: 0,checking?,solute,solute SMILES,computed CAS,computed IUPAC,solvent,solvent SMILES,pka,ref
81,81,,500721-87-9,COC1=CC=C(C=C1)C(N[S](=O)(=O)C(F)(F)F)=N[S](=O)(=O)C(F)(F)F,-,-,acetonitrile,CC#N,6.41,MeCN_Acids_COSMO-RS_2008_Table.pdf
82,82,,500721-89-1,CC1=CC=C(C=C1)C(N[S](=O)(=O)C(F)(F)F)=N[S](=O)(=O)C(F)(F)F,-,-,acetonitrile,CC#N,6.19,MeCN_Acids_COSMO-RS_2008_Table.pdf
83,83,,500721-91-5,FC(F)(F)[S](=O)(=O)NC(=N[S](=O)(=O)C(F)(F)F)C1=CC=CC=C1,-,-,acetonitrile,CC#N,6.04,MeCN_Acids_COSMO-RS_2008_Table.pdf
84,84,,500721-93-7,FC1=CC=C(C=C1)C(N[S](=O)(=O)C(F)(F)F)=N[S](=O)(=O)C(F)(F)F,-,-,acetonitrile,CC#N,5.66,MeCN_Acids_COSMO-RS_2008_Table.pdf
85,85,,500721-95-9,FC(F)(F)[S](=O)(=O)NC(=N[S](=O)(=O)C(F)(F)F)C1=CC=C(Cl)C=C1,-,-,acetonitrile,CC#N,5.56,MeCN_Acids_COSMO-RS_2008_Table.pdf
86,86,T,500721-97-1,[O-][N+](=O)C1=CC=C(C=C1)C(N[S](=O)(=O)C(F)(F)F)=N[S](=O)(=O)C(F)(F)F,500721-97-1,"4-nitro-N,N'-bis(trifluoromethylsulfonyl)benzenecarboximidamide",acetonitrile,CC#N,5.13,MeCN_Acids_COSMO-RS_2008_Table.pdf
87,87,,69173-28-0,CC1=CC=C(C=C1)[S](=O)(=O)N[S](=O)(=O)C2=CC=C(Cl)C=C2,"4-Methyl-4'-chloro[1,1'-iminobis(sulfonyl)bis(benzene)]",N-(4-chlorophenyl)sulfonyl-4-methylbenzenesulfonamide,acetonitrile,CC#N,11.1,MeCN_Acids_COSMO-RS_2008_Table.pdf
88,88,,95468-16-9,C1=CC(=CC(=C1)S(=O)(=O)NS(=O)(=O)C2=CC=C(C=C2)Cl)[N+](=O)[O-],-,N-(4-chlorophenyl)sulfonyl-3-nitrobenzenesulfonamide,acetonitrile,CC#N,9.17,MeCN_Acids_COSMO-RS_2008_Table.pdf
89,89,,39077-43-5,C1=CC=C(C=C1)NC2=C(C(=NC(=C2F)F)F)F,-,"2,3,5,6-tetrafluoro-N-phenylpyridin-4-amine",acetonitrile,CC#N,26.34,MeCN_Acids_COSMO-RS_2008_Table.pdf
90,90,,80588-34-7,CN(C)C1=C(F)C(=C(NC2=C(F)C(=C(F)C(=C2F)F)F)C(=C1F)F)F,-,-,acetonitrile,CC#N,25.12,MeCN_Acids_COSMO-RS_2008_Table.pdf
91,91,,80588-36-9,CC1=C(F)C(=C(NC2=C(F)C(=C(F)C(=C2F)F)F)C(=C1F)F)F,"N-(Pentafluorophenyl)-4-methyl-2,3,5,6-tetrafluoroaniline","2,3,5,6-tetrafluoro-4-methyl-N-(2,3,4,5,6-pentafluorophenyl)aniline",acetonitrile,CC#N,24.94,MeCN_Acids_COSMO-RS_2008_Table.pdf
92,92,,133213-11-3,NC1=C(C=C(C=C1[S](F)(=O)=O)[S](F)(=O)=O)[S](F)(=O)=O,-,-,acetonitrile,CC#N,19.66,MeCN_Acids_COSMO-RS_2008_Table.pdf
93,93,T,Trinitromethane,C([N+](=O)[O-])([N+](=O)[O-])[N+](=O)[O-],517-25-9,trinitromethane,acetonitrile,CC#N,7.3,MeCN_Acids_COSMO-RS_2008_Table.pdf
94,94,,1-(4-Nitrophenyl)-1-nitropropane,CCC(C1=CC=C(C=C1)[N+]([O-])=O)[N+]([O-])=O,126661-13-0,1-nitro-4-(1-nitropropyl)benzene,acetonitrile,CC#N,23.9,MeCN_Acids_COSMO-RS_2008_Table.pdf
95,95,,1-(4-Nitrophenyl)-2-methyl-1-nitropropane,CC(C)C(C1=CC=C(C=C1)[N+]([O-])=O)[N+]([O-])=O,126661-11-8,1-(2-methyl-1-nitropropyl)-4-nitrobenzene,acetonitrile,CC#N,25.9,MeCN_Acids_COSMO-RS_2008_Table.pdf
96,96,T,"1,2-Dicyanocyclopentadiene",N#CC1=C(C=CC1)C#N,N#CC1=C(C#N)C=CC1,"cyclopenta-1,3-diene-1,2-dicarbonitrile",acetonitrile,CC#N,10.17,MeCN_Acids_COSMO-RS_2008_Table.pdf
97,97,T,"1,2,3-Tricyanocyclopentadiene",N#CC1=C(C#N)C(=CC1)C#N,SCHEMBL11360517,"cyclopenta-1,3-diene-1,2,3-tricarbonitrile",acetonitrile,CC#N,1.44,MeCN_Acids_COSMO-RS_2008_Table.pdf
98,98,,"1,2,4-Tricyano-3-methylcyclopentadiene",CC1=C(CC(=C1C#N)C#N)C#N,-,-,acetonitrile,CC#N,3.4,MeCN_Acids_COSMO-RS_2008_Table.pdf
99,99,T,9-Cyanofluorene,C1=CC=C2C(=C1)C(C3=CC=CC=C32)C#N,1529-40-4,9H-fluorene-9-carbonitrile,acetonitrile,CC#N,20.8,MeCN_Acids_COSMO-RS_2008_Table.pdf
