,solute,solute SMILES,computed CAS,computed IUPAC,solvent,solvent SMILES,pka,ref
512,(4-Cl-C6F4)CH(CN)COOEt,CCOC(=O)C(C#N)C1=C(C(=C(C(=C1F)F)Cl)F)F,55810-56-5,"ethyl 2-(4-chloro-2,3,5,6-tetrafluorophenyl)-2-cyanoacetate",DMSO,CS(=O)C,4.5,a_unified_view_to_bronsted_acidity_scales.pdf
1471,(4-Cl-C6F4)CH(CN)COOEt,CCOC(=O)C(C#N)C1=C(C(=C(C(=C1F)F)Cl)F)F,55810-56-5,"ethyl 2-(4-chloro-2,3,5,6-tetrafluorophenyl)-2-cyanoacetate",MeCN,CC#N,17.39,leito_acids
1578,(4-Cl-C6F4)CH(CN)COOEt,CCOC(=O)C(C#N)C1=C(C(=C(C(=C1F)F)Cl)F)F,55810-56-5,"ethyl 2-(4-chloro-2,3,5,6-tetrafluorophenyl)-2-cyanoacetate",DCE,C(CCl)Cl,52.2,leito_acids
0,2340-87-6,CCOC(=O)C(C#N)C1=C(C(=C(C(=C1F)F)F)F)F,2340-87-6,"ethyl 2-cyano-2-(2,3,4,5,6-pentafluorophenyl)acetate",MeCN,CC#N,17.75,MeCN_Acids_COSMO-RS_2008_Table.pdf
473,(C6F5)CH(CN)COOEt,CCOC(=O)C(C#N)C1=C(C(=C(C(=C1F)F)F)F)F,2340-87-6,"ethyl 2-cyano-2-(2,3,4,5,6-pentafluorophenyl)acetate",MeCN,CC#N,17.75,a_unified_view_to_bronsted_acidity_scales.pdf
511,(C6F5)CH(CN)COOEt,CCOC(=O)C(C#N)C1=C(C(=C(C(=C1F)F)F)F)F,2340-87-6,"ethyl 2-cyano-2-(2,3,4,5,6-pentafluorophenyl)acetate",DMSO,CS(=O)C,4.7,a_unified_view_to_bronsted_acidity_scales.pdf
851,2340-87-6,CCOC(=O)C(C#N)C1=C(C(=C(C(=C1F)F)F)F)F,2340-87-6,"ethyl 2-cyano-2-(2,3,4,5,6-pentafluorophenyl)acetate",MeCN,CC#N,17.73,Ejoc202001649-sup-00001-misc_information.pdf
1006,2340-87-6,CCOC(=O)C(C#N)C1=C(C(=C(C(=C1F)F)F)F)F,2340-87-6,"ethyl 2-cyano-2-(2,3,4,5,6-pentafluorophenyl)acetate",H2O,O,5.89,Ejoc202001649-sup-00001-misc_information.pdf
1073,2340-87-6,CCOC(=O)C(C#N)C1=C(C(=C(C(=C1F)F)F)F)F,2340-87-6,"ethyl 2-cyano-2-(2,3,4,5,6-pentafluorophenyl)acetate",DMSO,CS(=O)C,5.1,Ejoc202001649-sup-00001-misc_information.pdf
1103,2340-87-6,CCOC(=O)C(C#N)C1=C(C(=C(C(=C1F)F)F)F)F,2340-87-6,"ethyl 2-cyano-2-(2,3,4,5,6-pentafluorophenyl)acetate",DCE,C(CCl)Cl,52.5,Ejoc202001649-sup-00001-misc_information.pdf
1468,(C6F5)CH(CN)COOEt,CCOC(=O)C(C#N)C1=C(C(=C(C(=C1F)F)F)F)F,2340-87-6,"ethyl 2-cyano-2-(2,3,4,5,6-pentafluorophenyl)acetate",MeCN,CC#N,17.75,leito_acids
1576,(C6F5)CH(CN)COOEt,CCOC(=O)C(C#N)C1=C(C(=C(C(=C1F)F)F)F)F,2340-87-6,"ethyl 2-cyano-2-(2,3,4,5,6-pentafluorophenyl)acetate",DCE,C(CCl)Cl,52.5,leito_acids
