Name Type,CAS,Formula,MeCN,Water,DMSO,DCE,DMF
4-Me-C6F4-CH(CN)2 CH,64934-71-0,C10H4F4N2,13.87,,,,
"[2,4,6-i-Pr3-C6H2]-BPA OH",791616-63-2,C50H57O4P,13.63,,4.22[51],,
"RR-3,5-(CF3)2-Ph-CXCC-Br4-benzoic acid OH",2489223-24-5,C23H16Br4F6N2O4S,13.55,,,,
(4-NC5F4)2CHCN CH,64934-72-1,C12HF8N3,13.47,,2.4[15],47.3,
"2,3,4,5,6-(CF3)5-C6-CH(CN)COOEt CH",2226486-80-0,C16H6F15NO2,13.41,,,47.8,
[9-Phenanthrene]-BPA OH,864943-22-6,C48H29O4P,13.32,,,,
C6F5-CH(CN)2 CH,719-38-0,C9HF5N2,13.01,,,,
4-H-C F -CH(CN)  305.5[9]6 4 2 CH,55810-63-4,C9H2F4N2,12.98,,,47.5,
[Ph]-BPA OH,695162-86-8,C32H21O4P,12.73,,3.86[51],,
3-CF3-4-NO2-Ph-CACC-Br4-benzoic acid OH,2408902-84-9,C22H17Br4F3N4O5S,12.69,,,,
[4-F-C6H4]-BPA OH,915038-14-1,C32H19F2O4P,12.46,,,,
"3,5-(CF3)2-Ph-CACC-Br4-benzoic acid OH",1541182-00-6,C23H17Br4F6N3O3S,12.4,,,,
2-C10F7-CH(CN)2 CH,62325-35-3,C13HF7N2,12.23,,,46.3,
Tos2NH NH,3695-00-9,C14H15NO4S2,11.97,,,,3.87
Ph-SO2-NH-SO2-Me NH,14561-75-2,C7H9NO4S2,11.89,,,,
"RS-3,5-(CF3)2-Ph-CXCC-Br4-benzoic acid OH",2489223-25-6,C23H16Br4F6N2O4S,11.8,,,,
4-NO2-C6H4-CH(CN)2 CH,7077-65-8,C9H5N3O2,11.61,2.3[40],,,
4-MeO-C6H4-CO-NH-Tf NH,39063-05-3,C9H8F3NO4S,11.6,,,,
C6F5-NH-Tf NH,23383-99-5,C7HF8NO2S,11.48,,,,
4-Me-C6H4-CO-NH-Tf NH,343337-70-2,C9H8F3NO3S,11.46,,,,
(C6H5-SO2)2NH NH,2618-96-4,C12H11NO4S2,11.35,,,,3.66
4-MeO-C6H4-SO2-NH-SO2-C6H4-4-Cl NH,,C13H12ClNO5S2,11.29,,,,
C6F5-NH-SO2-C4F9 NH,958028-58-5,C10HF14NO2S,11.25,,,,
C6F5-NH-SO2-C8F17 NH,1685282-48-7,C14HF22NO2S,11.19,,,,
4-Cl-C6H4-SO2-NH-Tos NH,69173-28-0,C13H12ClNO4S2,11.1,,,,
C6H5-CO-NH-Tf NH,39062-91-4,C8H6F3NO3S,11.07,,,,
Picric acid OH,88-89-1,C6H3N3O7,11,0.4[7],-1.9[54],45,1.1
5-NO2-Barbituric acid CH,480-68-2,C4H3N3O5,10.72,,0.8[4],,
4-F-C6H4-CO-NH-Tf NH,39063-00-8,C8H5F4NO3S,10.65,,,,
"(2,4,6-(NO2)3-C H ) 6 2 2NH NH",131-73-7,C12H5N7O12,10.54,2.63 [28],,,1.28
"2,3,4,5,6-(CF3)5-Phenol OH",723294-91-5,C11HF15O,10.46,1.32[10],3.1[10],,
"2,3,4,6-(CF3)4-C6H-CH(CN)2  CH",1018330-49-8,C13H2F12N2,10.42,,,44.2,
4-Cl-C6H4-CO-NH-Tf NH,39062-99-2,C8H5ClF3NO3S,10.35,,,,
HCl HHal,7647-01-0,ClH,10.3,"-5.9[57],g","-2[57],g",45.2,2.36
4-MeO-C6H4-SO2-NH-SO2-C6H4-4-NO2 NH,96433-16-8,C13H12N2O7S2,10.29,,,,
(4-Cl-C H -SO ) NH 302.6[43]6 4 2 2 NH,2725-55-5,C12H9Cl2NO4S2,10.2,,,,3.46
4-CF3-C6F4-CH(CN)2  CH,55852-24-9,C10HF7N2,10.19,,,44.2,
"2,3,4,5,6-(CF3)5-Thiophenol SH",741243-29-8,C11HF15S,10.12,,,,
3-NO2-C6H4-SO2-NH-Tos NH,28006-58-8,C13H12N2O6S2,10.07,,,,
4-NO2-C6H4-SO2-NH-Tos NH,100724-78-5,C13H12N2O6S2,10.04,,,43.3,
Me-SO H 315.0[9]3 OH,75-75-2,CH4O3S,9.97,,,,
4-Cl-3-NO2-C6H3-SO2-NH-Tos NH,215395-06-5,C13H11ClN2O6S2,9.68,,,,
"2,4-(NO2)2-C6H3-CH(CN)2 CH",218964-83-1,C9H4N4O4,9.58,,,,
4-NO2-C6H4-CO-NH-Tf NH,39062-98-1,C8H5F3N2O5S,9.49,,,,
4-NO2-C6H4-SO2-NH-SO2-C6H4-4-Cl NH,95468-16-9,C12H9ClN2O6S2,9.17,,,42.4,
"2,3,4,5,6-(CF3)5-C6-CH(CN)2 CH",1018330-44-3,C14HF15N2,8.88,,,42.2,
"[2,3,4,5,6-(CF3)5-C6]2NH NH",,C22HF30N,8.76,,,,
4-Cl-3-NO2-C6H3-SO2-NH-SO2-C6H4-4-Cl NH,1171188-83-2,C12H8Cl2N2O6S2,8.75,,,,
TosOH OH,104-15-4,C7H8O3S,8.5,,,,
Ph-SO3H OH,98-11-3,C6H6O3S,8.2,,,,
(3-NO2-C6H4-SO2)2NH,116082-80-5,C12H9N3O8S2,8.16,,,,
(4-NO2-C6H4-SO2)2NH,7/6/09,C12H9N3O8S2,8.15,,,41.1,
"2,4,6-(SO2OCH2CF2CF2H)3-Phenol",1263293-54-4,C15H12F12O10S3,8.14,,,,
