mol,pka
4−MeO−C6H4−C(=NTf)−NH−Tf,6.05
4−NO2−C6H4−SO2−CH(CN)2,6.01
Tos−NH−Tf,5.82
4−Me−C6H4−C(=NTf)−NH−Tf,5.82
C6H5−C(=NTf)−NH−Tf,5.68
H−TCNP,5.64
C6H5−SO2−NH−Tf,5.52
HBr,5.4
4−F−C6H4−C(=NTf)−NH−Tf,5.29
"2,4,6−(SO2F)3−Phenol",5.22
4−Cl−C6H4−C(=NTf)−NH−Tf,5.2
(C6F5−SO2)2NH,5.08
CH(CN)3,5.0
4−Cl−C6H4−SO2−NH−Tf,4.98
"[3,5−(CF3)2−C6H3]−JINGLE",4.97
4−Cl−C6H4−SO(=NTf)−NH−Tos,4.78
4−NO2−C6H4−C(=NTf)−NH−Tf,4.63
"2,4,6−Tf3−Phenol",4.44
(CN)2C=C(CN)OH,4.36
4−NO2−C6H4−SO2−NH−Tf,4.04
4-Cl-C6H4-SO(=NTf)-NH-SO2-C6H4-4-Cl,4.0
2.4-(NO2)2-C6H3-SO3H,3.96
"2,3,5-tricyanocyclopentadiene",3.65
4-Cl-C6H4-SO(=NTf)-NH-SO2-C6H4-4-NO2,3.3
HI,2.8
