,Solute SMILES,Solvent SMILES,Solute CAS,Solute IUPAC,pKa (avg),pKa (all),Source
127,O=C([O-])C1=CCCCCC1,0,0,0,5.01,['5.01'],0
128,O=C([O-])C[NH+]1CCCCCC1,0,0,0,9.48,['9.48'],0
129,S=C(S)N1CCCC1,0,0,0,3.00,['3.00'],0
130,OCCN(CCO)c1nc(N2CCCCC2)c2nc(N(CCO)CCO)nc(N3CCCCC3)c2n1,0,0,0,6.40,['6.40'],0
131,O=c1c2c(nc3n1CCC3)CCCC2,0,0,0,3.18,['3.18'],0
132,O=c1c2c(nc3n1CCCC3)CCCC2,0,0,0,4.47,['4.47'],0
133,Nc1c2c([nH+]c3c1CCC3)CCCC2,0,0,0,10.20,['10.20'],0
134,Nc1c2c([nH+]c3c1CCCC3)CCCC2,0,0,0,11.00,['11.00'],0
135,Nc1c2c([nH+]c3c1CCCO3)CCCC2,0,0,0,7.80,['7.80'],0
136,C1CCc2c(nnc3c2CCCC3)C1,0,0,0,6.12,['6.12'],0
137,C1CCc2nnc3c(c2CC1)CCCC3,0,0,0,6.03,['6.03'],0
138,O=c1c2c(nc3n1CCCC3)CCC2,0,0,0,3.46,['3.46'],0
139,O=C1C=C([O-])CCN1C1OC(CO)C(O)C1O,0,0,0,5.99,['5.99'],0
140,OCC1=CC[NH+]2CCC(O)C12,0,0,0,8.88,['8.88'],0
141,OCC1CC[NH+]2CCC(O)C12,0,0,0,10.20,['10.20'],0
142,N#CC1=C[NH+]2CCC1CC2,0,0,0,5.84,['5.84'],0
143,NC(=O)C1=C[NH+]2CCC1CC2,0,0,0,7.32,['7.32'],0
144,N#CC1CN2CCC1CC2,0,0,0,7.81,['7.81'],0
145,NC(=O)C1C[NH+]2CCC1CC2,0,0,0,9.67,['9.67'],0
146,C1C[NH+]2CCC3OCC1C32,0,0,0,9.40,['9.40'],0
147,O=[N+]([O-])N=C1NCCN1,0,0,0,-1.36,['-1.36'],0
148,O=[N+]([O-])N=C1NCCCN1,0,0,0,-0.71,['-0.71'],0
149,NS(=O)(=O)C1=NN2CCS(=O)(=O)N=C2S1,0,0,0,6.70,['6.70'],0
150,O=C1NCCSC1=NO,0,0,0,9.07,['9.07'],0
151,ON=C1COCCS1,0,0,0,10.94,['10.94'],0
152,ON=C1CSCCS1,0,0,0,11.30,['11.30'],0
153,ON=C1SCCS1,0,0,0,10.81,['10.81'],0
154,Nc1c2c([nH+]c3c1CCCO3)CCC2,0,0,0,7.80,['7.80'],0
155,O=c1c2c(nc3n1CCC3)CCC2,0,0,0,2.24,['2.24'],0
156,C1N2CN3CN1C[NH+](C2)C3,0,0,0,6.30,['6.30'],0
157,ON=C1SCSCS1,0,0,0,9.98,['9.98'],0
158,C=C(CC(=O)c1ccc(-c2ccccc2Cl)cc1)C(=O)[O-],0,0,0,5.30,['5.30'],0
159,C=CC1C[NH+]2CCC1CC2C(O)c1ccnc2ccc(O)cc12,0,0,0,7.63,['7.63'],0
160,C=CCC1(C2C=CCC2)C(=O)NC(=O)NC1=O,0,0,0,7.80,['7.80'],0
161,C=CCC1(CC(=C)Br)C(=O)NC(=O)NC1=O,0,0,0,7.70,['7.70'],0
162,C=CCC1(CC=C)C(=O)NC(=O)NC1=O,0,0,0,7.72,['7.72'],0
163,C=CCC1(CC=C)SC(=O)[N-]C1=O,0,0,0,6.14,['6.14'],0
164,C=CCC1SC(=[NH+]O)NC1=O,0,0,0,11.85,['11.85'],0
165,C=CCCCCCCCCC(=O)[O-],0,0,0,5.19,['5.19'],0
166,C=CCCN(C1=[NH+]CCN1)c1c(Br)cccc1Br,0,0,0,11.20,['11.20'],0
167,C=CC[NH+](CC=C)CC=C,0,0,0,8.31,['8.31'],0
168,C=CCN(CC=C)S(=O)(=O)c1ccc(-c2ccccc2C(=O)[O-])cc1,0,0,0,3.69,['3.69'],0
169,C=CC[NH+](CC=C)CCC(C(N)=O)(c1ccccc1)c1ccccn1,0,0,0,8.11,['8.11'],0
170,C=CCN(C1=[NH+]CCN1)c1c(Br)cccc1Br,0,0,0,10.70,['10.70'],0
171,C=CCN(C1=[NH+]CCN1)c1c(Cl)cccc1Cl,0,0,0,10.42,['10.42'],0
172,C=CC[NH+]1CCC23CCCCC2C1Cc1ccc(O)cc13,0,0,0,8.50,['8.50'],0
173,C=CC[NH+]1CCC23c4c5ccc(O)c4OC2C(=O)CCC3(O)C1C5,0,0,0,7.88,['7.88'],0
174,C=CC[NH+]1CCC23c4c5ccc(O)c4OC2C(O)C=CC3C1C5,0,0,0,7.70,['7.70'],0
175,C=CC[NH+]1CCc2cccc(Cl)c2CC1,0,0,0,7.40,['7.40'],0
176,C=CCNC(=O)[N-]S(=O)(=O)c1ccc(Cl)cc1,0,0,0,4.23,['4.23'],0
177,C=CCNC(=O)[N-]S(=O)(=O)c1ccccc1,0,0,0,4.70,['4.70'],0
178,C=CCNc1ccccc1,0,0,0,4.17,['4.17'],0
179,C=CCOc1noc2c1C[NH2+]CC2,0,0,0,7.50,['7.50'],0
180,C=CCOc1cc(N)ccc1C(=O)[O-],0,0,0,5.01,['5.01'],0
181,C=CCOc1ccc(CC(=O)[O-])cc1Cl,0,0,0,4.50,['4.50'],0
182,C=CCOc1nc(N)nc(N)n1,0,0,0,3.43,['3.43'],0
183,CC#CC(C)(C)OCn1cc[n+](C)c1C=NO,0,0,0,7.96,['7.96'],0
184,CC#CC(C)OCn1cc[n+](C)c1C=NO,0,0,0,8.03,['8.03'],0
185,CC#CCCOCn1cc[n+](C)c1C=NO,0,0,0,8.04,['8.04'],0
186,CC#CCOC(C(=O)C[NH+](C)C)(c1ccccc1)c1ccccc1,0,0,0,6.92,['6.92'],0
187,C=C(C)CC(OCn1cc[n+](C)c1C=NO)C(=C)C,0,0,0,7.91,['7.91'],0
188,C=C(C)CC(C)(C)C=NO,0,0,0,12.28,['12.28'],0
189,C=C(C)CCN(C1=[NH+]CCN1)c1c(Br)cccc1Br,0,0,0,10.90,['10.90'],0
190,C=C(C)CCOCn1cc[n+](C)c1C=NO,0,0,0,8.03,['8.03'],0
191,C=C(C)CN(C1=[NH+]CCN1)c1c(Br)cccc1Br,0,0,0,10.71,['10.71'],0
192,C=C(C)COCn1cc[n+](C)c1C=NO,0,0,0,7.99,['7.99'],0
193,CC(=CC(C)=Nc1ccccc1)Nc1ccccc1,0,0,0,7.20,['7.20'],0
194,CC(=CC(=S)C(F)(F)C(F)F)Nc1ccccc1,0,0,0,10.52,['10.52'],0
195,C[NH2+]C(C)=CC(=S)C(F)(F)F,0,0,0,12.30,['12.30'],0
196,CC(=CC(=S)C(F)(F)F)Nc1ccccc1,0,0,0,10.20,['10.20'],0
197,COC1C(OC(=O)C=CC=CC=CC=CC(=O)[O-])CCC2(CO2)C1C1(C)OC1CC=C(C)C,0,0,0,4.51,['4.51'],0
198,CC(C)=CCN(C1=[NH+]CCN1)c1c(Br)cccc1Br,0,0,0,10.75,['10.75'],0
199,CC(C)=CCOCn1cc[n+](C)c1C=NO,0,0,0,8.05,['8.05'],0
200,CC(C)=CCn1cnc(N)c2ncnc1-2,0,0,0,6.00,['6.00'],0
201,CC(=[NH2+])Nc1ccc(Cl)cc1,0,0,0,9.50,['9.50'],0
202,CC(=[NH2+])Nc1ccc(-c2ccccc2)cc1,0,0,0,9.66,['9.66'],0
203,CC(C=NNC(N)=[NH2+])=NNC(N)=[NH2+],0,0,0,8.24,['8.24'],0
204,CC(=NNC(N)=[NH2+])c1cccs1,0,0,0,8.90,['8.90'],0
205,CC(C)=NNC(N)=N[N+](=O)[O-],0,0,0,8.60,['8.60'],0
206,CC(=NNC(N)=[NH+]c1ccccc1)c1ccccc1,0,0,0,8.10,['8.10'],0
207,CC(=NNc1c([N+](=O)[O-])cc(C(F)(F)F)cc1[N+](=O)[O-])C(F)(F)F,0,0,0,6.93,['6.93'],0
208,CC(C)=NNc1ccc([N+](=O)[O-])cc1[N+](=O)[O-],0,0,0,6.83,['6.83'],0
