,Solute SMILES,Solvent SMILES,Solute CAS,Solute IUPAC,pKa (avg),pKa (all),Source
175,C=CC[NH+]1CCc2cccc(Cl)c2CC1,O,0,0,7.4,['7.40'],['pKa_prospector']
176,C=CCNC(=O)[N-]S(=O)(=O)c1ccc(Cl)cc1,O,0,0,4.23,['4.23'],['pKa_prospector']
177,C=CCNC(=O)[N-]S(=O)(=O)c1ccccc1,O,0,0,4.7,['4.70'],['pKa_prospector']
178,C=CCNc1ccccc1,O,0,0,4.17,['4.17'],['pKa_prospector']
179,C=CCOc1noc2c1C[NH2+]CC2,O,0,0,7.5,['7.50'],['pKa_prospector']
180,C=CCOc1cc(N)ccc1C(=O)[O-],O,0,0,5.01,['5.01'],['pKa_prospector']
181,C=CCOc1ccc(CC(=O)[O-])cc1Cl,O,0,0,4.5,['4.50'],['pKa_prospector']
182,C=CCOc1nc(N)nc(N)n1,O,0,0,3.43,['3.43'],['pKa_prospector']
183,CC#CC(C)(C)OCn1cc[n+](C)c1C=NO,O,0,0,7.96,['7.96'],['pKa_prospector']
184,CC#CC(C)OCn1cc[n+](C)c1C=NO,O,0,0,8.03,['8.03'],['pKa_prospector']
185,CC#CCCOCn1cc[n+](C)c1C=NO,O,0,0,8.04,['8.04'],['pKa_prospector']
186,CC#CCOC(C(=O)C[NH+](C)C)(c1ccccc1)c1ccccc1,O,0,0,6.92,['6.92'],['pKa_prospector']
187,C=C(C)CC(OCn1cc[n+](C)c1C=NO)C(=C)C,O,0,0,7.91,['7.91'],['pKa_prospector']
188,C=C(C)CC(C)(C)C=NO,O,0,0,12.28,['12.28'],['pKa_prospector']
189,C=C(C)CCN(C1=[NH+]CCN1)c1c(Br)cccc1Br,O,0,0,10.9,['10.90'],['pKa_prospector']
190,C=C(C)CCOCn1cc[n+](C)c1C=NO,O,0,0,8.03,['8.03'],['pKa_prospector']
191,C=C(C)CN(C1=[NH+]CCN1)c1c(Br)cccc1Br,O,0,0,10.71,['10.71'],['pKa_prospector']
192,C=C(C)COCn1cc[n+](C)c1C=NO,O,0,0,7.99,['7.99'],['pKa_prospector']
193,CC(=CC(C)=Nc1ccccc1)Nc1ccccc1,O,0,0,7.2,['7.20'],['pKa_prospector']
